Time,Float_Position,Float_Velocity,Float_Acceleration,Spar_Position,Spar_Velocity,Spar_Acceleration
81.08,-4.0118053406732,-0.338533842907125,-0.0416817980180717,-3.92855108229603,-0.0979611732721396,0.0109826804234912
81.09,-4.01519278993798,-0.338958712699954,-0.043123842478897,-3.92953015511227,-0.0978544252373705,0.0103642119554189
81.1,-4.01858455949845,-0.339397851947934,-0.0445338960783251,-3.9305081912291,-0.0977538193776582,0.00975416845857488
81.11,-4.02198079044208,-0.339850938482911,-0.0459115562845013,-3.93148525164457,-0.0976592707012233,0.00915269697366572
81.12,-4.02538162061453,-0.340317646111272,-0.0472564207038289,-3.9324613964994,-0.0975706927409807,0.00855994552880994
81.13,-4.02878718457943,-0.340797644615663,-0.0485680871352568,-3.93343668506224,-0.0974879975447561,0.00797606312432188
81.14,-4.03219761357809,-0.341290599757308,-0.049846153635216,-3.93441117571476,-0.0974110956656782,0.00740119971279853
81.15,-4.03561303548938,-0.341796173279027,-0.0510902185931384,-3.93538492593663,-0.0973398961527945,0.0068355061745281
81.16,-4.03903357478948,-0.342314022909065,-0.0522998808176291,-3.93635799229048,-0.0972743065419555,0.00627913428819808
81.17,-4.04245935251184,-0.342843802365833,-0.0534747396332436,-3.93733043040666,-0.0972142328470155,0.0057322366969168
81.18,-4.04589048620705,-0.343385161363665,-0.0546143949878271,-3.93830229496804,-0.0971595795513966,0.00519496686956661
81.19,-4.04932708990284,-0.343937745619709,-0.0557184475704063,-3.93927363969463,-0.0971102496000624,0.00466747905749087
81.2,-4.05276927406419,-0.344501196862045,-0.0567864989395522,-3.94024451732817,-0.0970661443919479,0.00414992824654666
81.21,-4.05621714555342,-0.345075152839133,-0.057818151662131,-3.94121497961661,-0.0970271637728918,0.00364247010455781
81.22,-4.05967080759052,-0.345659247330704,-0.0588130094623744,-3.94218507729859,-0.0969932060291168,0.00314526092419074
81.23,-4.06313035971346,-0.346253110160198,-0.0597706773811674,-3.94315486008778,-0.0969641678813042,0.00265845756130116
81.24,-4.06659589773872,-0.34685636720883,-0.0606907619453997,-3.9441243766572,-0.0969399444793071,0.0021822173688052
81.25,-4.07006751372196,-0.347468640431411,-0.061572871347302,-3.94509367462351,-0.0969204293975463,0.00171669812611105
81.26,-4.07354529591882,-0.348089547874008,-0.0624166156335683,-3.94606280053121,-0.0969055146311339,0.00126205796418993
